iter	Passed	Remaining
0	1	153
1	3	164
2	5	179
3	11	284
4	13	263
5	15	242
6	16	225
7	18	208
8	20	204
9	22	199
10	24	195
11	25	189
12	27	181
13	28	175
14	29	169
15	31	163
16	32	159
17	34	155
18	37	158
19	38	153
20	39	150
21	41	146
22	42	142
23	44	139
24	45	136
25	46	133
26	48	129
27	49	127
28	51	126
29	55	128
30	56	126
31	58	123
32	59	121
33	61	118
34	62	115
35	63	113
36	65	111
37	67	110
38	69	108
39	70	105
40	71	103
41	72	100
42	74	98
43	75	96
44	77	94
45	78	92
46	80	91
47	83	90
48	85	89
49	86	86
50	88	84
51	89	82
52	90	80
53	91	78
54	92	75
55	94	74
56	97	73
57	100	72
58	102	71
59	107	71
60	108	69
61	110	67
62	113	66
63	115	65
64	117	63
65	119	61
66	121	59
67	123	58
68	125	56
69	126	54
70	129	52
71	133	51
72	136	50
73	138	48
74	140	46
75	142	44
76	148	44
77	150	42
78	152	40
79	154	38
80	155	36
81	156	34
82	162	33
83	164	31
84	167	29
85	169	27
86	170	25
87	172	23
88	179	22
89	181	20
90	183	18
91	185	16
92	187	14
93	189	12
94	192	10
95	194	8
96	196	6
97	199	4
98	201	2
99	203	0
